id;transport_system;type_of_matter;assigned_source_name;assigned_source_id;assigned_destination_name;assigned_destination_id
8227;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8386;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8614;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8772;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8980;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
9019;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8185;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8213;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8286;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8570;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8571;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8869;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8891;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
9098;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
9119;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
9138;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
8529;Truck                                             ;Cattle                                            ;Dori                                              ;288;Ouagadougou (not specified)                       ;639
9074;Motorbike                                         ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
9124;Motorbike                                         ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8179;Motorbike                                         ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8194;Passenger Car                                     ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8336;Passenger Car                                     ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8367;Passenger Car                                     ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8372;Passenger Car                                     ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8376;Passenger Car                                     ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8390;Motorbike                                         ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8391;Motorbike                                         ;Chicken                                           ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8733;Motorbike                                         ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8744;Passenger Car                                     ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8761;Motorbike                                         ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8763;Passenger Car                                     ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8768;Passenger Car                                     ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8769;Bicycle                                           ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8779;Motorbike                                         ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8787;Motorbike                                         ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8800;Motorbike                                         ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8814;Passenger Car                                     ;Sheep                                             ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8818;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8820;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8838;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8840;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8841;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8851;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8881;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8888;Motorbike                                         ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8889;Bicycle                                           ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8901;Bicycle                                           ;Tomato                                            ;Kaya                                              ;284;Ouagadougou (not specified)                       ;639
8484;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8495;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8533;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8607;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8618;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8216;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8239;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8287;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8312;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8389;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8398;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8407;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8451;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8471;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8483;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8594;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8611;Passenger Car                                     ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8643;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8664;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8745;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
9016;Passenger Car                                     ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8189;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8307;Passenger Car                                     ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8644;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8168;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8174;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8175;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8176;Bicycle                                           ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8198;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8201;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8231;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8254;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8281;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8283;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8304;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8366;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8370;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8375;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8388;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8394;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8420;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8428;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8432;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8433;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8439;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8448;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8465;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8467;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8486;Bicycle                                           ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8501;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8502;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8534;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8552;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8555;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8581;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8587;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8597;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8646;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8649;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8652;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8671;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8685;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8750;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8755;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8765;Motorbike                                         ;Onion                                             ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8715;Motorbike                                         ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8732;Bicycle                                           ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8759;Motorbike                                         ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8783;Motorbike                                         ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8794;Motorbike                                         ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8799;Motorbike                                         ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8802;Bicycle                                           ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8806;Bicycle                                           ;Tomato                                            ;Korsimoro                                         ;345;Ouagadougou (not specified)                       ;639
8271;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8588;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8625;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8628;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8660;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8801;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8848;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8872;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9028;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9032;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9095;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9104;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9114;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
9171;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8347;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8424;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8191;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8192;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8193;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8197;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8211;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8214;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8215;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8223;Motorbike                                         ;Eggplant (garden egg) (aubergine)                 ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8259;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8352;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8489;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8538;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8683;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8725;Motorbike                                         ;Okra                                              ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8303;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8311;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8317;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8329;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8330;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8332;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8334;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8335;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
8337;Motorbike                                         ;Rosell (Bra) (oseille / bitto)                    ;Loumbila                                          ;264;Ouagadougou (not specified)                       ;639
